"E","N"
"1",2682216,1262843
"2",2683054,1262519
"3",2692350,1253992
"4",2689546,1260451
"5",2684807,1253174
"6",2678019,1254725
"7",2678262,1254941
"8",2676170,1250196
"9",2676474,1251042
"10",2685212,1238735
"11",2685676,1238137
"12",2696517,1244732
"13",2696272,1245044
"14",2695412,1245929
"15",2697205,1261789
"16",2697041,1261629
"17",2697382,1261695
"18",2696925,1261877
"19",2679956,1244478
"20",2680714,1250003
"21",2680587,1252971
"22",2682642,1250257
"23",2678216,1248703
"24",2679427,1250051
"25",2680419,1246272
"26",2681246,1248514
"27",2679780,1252026
"28",2683546,1250210
"29",2682450,1247990
"30",2683257,1247484
"31",2683006,1252034
"32",2683194,1252124
"33",2683018,1252124
"34",2684027,1251619
"35",2683111,1247195
"36",2682716,1248218
"37",2681942,1247245
"38",2680619,1246041
"39",2680557,1247272
"40",2681084,1249180
"41",2680693,1251425
"42",2683685,1246727
"43",2680522,1247797
"44",2679386,1249607
"45",2679027,1250497
"46",2680941,1247261
"47",2687035,1245950
"48",2684037,1245349
"49",2703580,1262305
"50",2685676,1238137
"51",2695885,1245777
"52",2696165,1244870
"53",2696836,1261701
"54",2680558,1247730
"55",2697327,1261880
"56",2678019,1254725
"57",2695412,1245929
"58",2679027,1250497
"59",2677341,1254996
"60",2676800,1253853
"61",2676930,1254587
"62",2677270,1254789
"63",2677354,1254241
"64",2682096,1249940
"65",2677270,1254789
"66",2680619,1246041
"67",2697327,1261880
"68",2679316,1250429
