"","site","sensor","date","year","month","day","daily_mean_temp","daily_mean_humid"
"1","Bülach - Feldermösli",531,2019-05-01,"2019","05","01",10.4781944444444,71.2729861111111
"2","Bülach - Feldermösli",531,2019-05-02,"2019","05","02",10.4598611111111,76.6215972222222
"3","Bülach - Feldermösli",531,2019-05-03,"2019","05","03",9.35188811188811,86.5088111888112
"4","Bülach - Feldermösli",531,2019-05-04,"2019","05","04",6.26513888888889,88.2070138888889
"5","Bülach - Feldermösli",531,2019-05-05,"2019","05","05",4.50298611111111,74.0904166666667
"6","Bülach - Feldermösli",531,2019-05-06,"2019","05","06",5.52048611111111,70.0484027777778
"7","Bülach - Feldermösli",531,2019-05-07,"2019","05","07",8.32666666666667,64.7542361111111
"8","Bülach - Feldermösli",531,2019-05-08,"2019","05","08",8.34736111111111,91.7654861111111
"9","Bülach - Feldermösli",531,2019-05-09,"2019","05","09",10.5221527777778,79.3204166666667
"10","Bülach - Feldermösli",531,2019-05-10,"2019","05","10",11.6065972222222,81.5247222222222
"11","Bülach - Feldermösli",531,2019-05-11,"2019","05","11",10.9411111111111,82.8184722222222
"12","Bülach - Feldermösli",531,2019-05-12,"2019","05","12",9.30152777777778,66.0213194444444
"13","Bülach - Feldermösli",531,2019-05-13,"2019","05","13",10.0255555555556,59.1405555555556
"14","Bülach - Feldermösli",531,2019-05-14,"2019","05","14",10.0354166666667,46.7014583333333
"15","Bülach - Feldermösli",531,2019-05-15,"2019","05","15",8.93381944444444,58.8347222222222
"16","Bülach - Feldermösli",531,2019-05-16,"2019","05","16",9.20215277777778,67.0146527777778
"17","Bülach - Feldermösli",531,2019-05-17,"2019","05","17",12.1420979020979,72.818951048951
"18","Bülach - Feldermösli",531,2019-05-18,"2019","05","18",13.6308333333333,78.5129861111111
"19","Bülach - Feldermösli",531,2019-05-19,"2019","05","19",14.1809722222222,81.2545138888889
"20","Bülach - Feldermösli",531,2019-05-20,"2019","05","20",12.0041666666667,95.4949305555556
"21","Bülach - Feldermösli",531,2019-05-21,"2019","05","21",11.5206944444444,92.1117361111111
"22","Bülach - Feldermösli",531,2019-05-22,"2019","05","22",14.4860416666667,69.9685416666667
"23","Bülach - Feldermösli",531,2019-05-23,"2019","05","23",14.5215602836879,62.9463120567376
"24","Bülach - Feldermösli",531,2019-05-24,"2019","05","24",15.8341958041958,66.3028671328671
"25","Bülach - Feldermösli",531,2019-05-25,"2019","05","25",14.6727083333333,81.82
"26","Bülach - Feldermösli",531,2019-05-26,"2019","05","26",15.9884027777778,74.8757638888889
"27","Bülach - Feldermösli",531,2019-05-27,"2019","05","27",16.5896503496503,68.4597202797203
"28","Bülach - Feldermösli",531,2019-05-28,"2019","05","28",12.5371527777778,83.4981944444445
"29","Bülach - Feldermösli",531,2019-05-29,"2019","05","29",11.0204861111111,86.7939583333333
"30","Bülach - Feldermösli",531,2019-05-30,"2019","05","30",12.6866666666667,76.7332638888889
"31","Bülach - Feldermösli",531,2019-05-31,"2019","05","31",17.1513194444444,64.4777083333333
"32","Bülach - Feldermösli",531,2019-06-01,"2019","06","01",18.9884722222222,63.8765972222222
"33","Bülach - Feldermösli",531,2019-06-02,"2019","06","02",20.576875,62.0596527777778
"34","Bülach - Feldermösli",531,2019-06-03,"2019","06","03",21.0358333333333,65.3047916666667
"35","Bülach - Feldermösli",531,2019-06-04,"2019","06","04",22.230979020979,64.914965034965
"36","Bülach - Feldermösli",531,2019-06-05,"2019","06","05",23.0375,57.0529166666667
"37","Bülach - Feldermösli",531,2019-06-06,"2019","06","06",14.1538888888889,70.7018055555556
"38","Bülach - Feldermösli",531,2019-06-07,"2019","06","07",15.5211111111111,72.8560416666667
"39","Bülach - Feldermösli",531,2019-06-08,"2019","06","08",16.7282638888889,56.9035416666667
"40","Bülach - Feldermösli",531,2019-06-09,"2019","06","09",13.5993055555556,80.1110416666667
"41","Bülach - Feldermösli",531,2019-06-10,"2019","06","10",14.7527083333333,94.5755555555556
"42","Bülach - Feldermösli",531,2019-06-11,"2019","06","11",14.3286111111111,87.4376388888889
"43","Bülach - Feldermösli",531,2019-06-12,"2019","06","12",15.3225,76.9751388888889
"44","Bülach - Feldermösli",531,2019-06-13,"2019","06","13",18.1207638888889,63.57
"45","Bülach - Feldermösli",531,2019-06-14,"2019","06","14",20.3042361111111,62.8531944444444
"46","Bülach - Feldermösli",531,2019-06-15,"2019","06","15",18.8676388888889,72.58875
"47","Bülach - Feldermösli",531,2019-06-16,"2019","06","16",16.8340972222222,78.954375
"48","Bülach - Feldermösli",531,2019-06-17,"2019","06","17",19.1811888111888,73.1403496503496
"49","Bülach - Feldermösli",531,2019-06-18,"2019","06","18",21.1451048951049,69.4091608391608
"50","Bülach - Feldermösli",531,2019-06-19,"2019","06","19",22.9526388888889,59.6276388888889
"51","Bülach - Feldermösli",531,2019-06-20,"2019","06","20",18.27875,80.6721527777778
"52","Bülach - Feldermösli",531,2019-06-21,"2019","06","21",18.7270588235294,80.6368382352941
"53","Bülach - Feldermösli",531,2019-06-22,"2019","06","22",17.4279861111111,91.4227083333333
"54","Bülach - Feldermösli",531,2019-06-23,"2019","06","23",20.0083333333333,78.5405555555556
"55","Bülach - Feldermösli",531,2019-06-24,"2019","06","24",22.7382638888889,72.5275694444444
"56","Bülach - Feldermösli",531,2019-06-25,"2019","06","25",25.3359027777778,69.5809722222222
"57","Bülach - Feldermösli",531,2019-06-26,"2019","06","26",26.7799305555556,70.2679861111111
"58","Bülach - Feldermösli",531,2019-06-27,"2019","06","27",27.993125,67.8429166666667
"59","Bülach - Feldermösli",531,2019-06-28,"2019","06","28",25.5488888888889,48.4234722222222
"60","Bülach - Feldermösli",531,2019-06-29,"2019","06","29",24.8163194444444,53.8589583333333
"61","Bülach - Feldermösli",531,2019-06-30,"2019","06","30",26.594375,61.5016666666667
"62","Bülach - Feldermösli",531,2019-07-01,"2019","07","01",27.7151388888889,55.9385416666667
"63","Bülach - Feldermösli",531,2019-07-02,"2019","07","02",22.6970833333333,72.0311805555556
"64","Bülach - Feldermösli",531,2019-07-03,"2019","07","03",21.9615277777778,55.8659027777778
"65","Bülach - Feldermösli",531,2019-07-04,"2019","07","04",21.6876388888889,51.7811805555556
"66","Bülach - Feldermösli",531,2019-07-05,"2019","07","05",22.8613194444444,56.0233333333333
"67","Bülach - Feldermösli",531,2019-07-06,"2019","07","06",20.5645833333333,68.359375
"68","Bülach - Feldermösli",531,2019-07-07,"2019","07","07",20.8382638888889,74.2418055555556
"69","Bülach - Feldermösli",531,2019-07-08,"2019","07","08",19.2548611111111,74.3245138888889
"70","Bülach - Feldermösli",531,2019-07-09,"2019","07","09",18.4829166666667,57.6849305555556
"71","Bülach - Feldermösli",531,2019-07-10,"2019","07","10",17.1438194444444,54.0983333333333
"72","Bülach - Feldermösli",531,2019-07-11,"2019","07","11",16.4097916666667,72.9504861111111
"73","Bülach - Feldermösli",531,2019-07-12,"2019","07","12",18.7877777777778,74.7153472222222
"74","Bülach - Feldermösli",531,2019-07-13,"2019","07","13",18.2521527777778,67.3888194444445
